Metrics item set 1,Metrics item set 2,support,confidence,lift,Chi-square p-value,Cramer’s V
Extract Method,Extract Interface,0.071,0.624,1.153,"<0,01",0.488
Extract Method,Rename Method,0.091,0.967,5.948,"<0,05",0.487
Extract Interface,Extract Method,0.071,0.757,1.153,"<0,01",0.488
Extract Interface,Move Attribute,0.073,0.546,2.278,"<0,01",0.62
Extract Interface,Move Method,0.061,0.595,1.575,"<0,01",0.44
Extract Method,Move Method,0.074,0.9,3.471,"<0,01",0.393
Inline Method,Move Method,0.083,0.991,1.524,"<0,01",0.389
Move Attribute,Extract Interface,0.073,0.544,2.278,"<0,01",0.62
Move Method ,Extract Interface,0.061,0.79,1.575,"<0,01",0.44
Move Method,Extract Method,0.074,0.868,2.471,"<0,01",0.393
Move Method,Inline Method,0.083,0.667,1.524,"<0,01",0.389
Move Method,Move Attribute,0.075,0.917,1.364,"<0,01",0.429
Move Attribute,Move Method,0.075,0.875,1.364,"<0,01",0.429
Move Method,Push Down Attribute,0.063,0.565,1.572,"<0,05",0.504
Push Down Attribute,Move Attribute,0.035,0.772,1.211,"<0,05",0.5
Pull Up  Method,Move Attribute,0.084,0.548,6.203,"<0,05",0.538
